id,area,feature,user_story,expected_behavior,verify_method,status,loop1_result,errors,loop2_result
ING-02,ingest,ledger open hardening,"As an operator, the ledger is private and symlink-safe",~/.overload 0700; refuses symlink ledger path; db/-wal/-shm chmod 0600; schema applied idempotently,behavioral: symlink + perms check,pass,pass,"symlink refused via uncaught throw (raw stacktrace, exit 1) — functional, message unpolished",pass (loop-2 rerun / suite 126-test green)
ING-03,ingest,classifier activation,"As an operator, classifier version changes are replay-visible",first run per version appends classifier_activated to admin spool + records watermark; second run no-op,unit+behavioral: activateClassifier twice,pass,pass,,pass (loop-2 rerun / suite 126-test green)
ING-04,ingest,spool discovery,"As the pipeline, only well-formed spool files are read","scan host/emitter dirs matching [A-Za-z0-9._-]+, files matching (active|seg)-<id>-<n>[-recovered].ndjson; symlinks and foreign files skipped",behavioral: plant hostile names/symlinks,pass,pass,,pass (loop-2 rerun / suite 126-test green)
ING-05,ingest,complete-line reads,"As the pipeline, torn writes are never ingested",only bytes up to last newline consumed; partial tail line left for next scan; cursor advances to consumed end,test: ingest.test partial line,pass,pass,,pass (loop-2 rerun / suite 126-test green)
ING-06,ingest,truncation recovery,"As the pipeline, a truncated/rewritten file re-reads from 0","stat.size < cursor -> start from 0; dedup by (host,emitter,seq) prevents double-insert",test: truncate scenario,pass,pass,,pass (loop-2 rerun / suite 126-test green)
ING-07,ingest,envelope validation,"As the pipeline, malformed or spoofed envelopes are rejected","v==1, at/seq safe ints, seq>=1, host==dir host, emitter_id==dir emitter, non-empty session/writer/kind else line dropped",test: envelope.test,pass,pass,,pass (loop-2 rerun / suite 126-test green)
ING-08,ingest,idempotent insert,"As an operator, replay/rescan never duplicates events","journal UNIQUE(host,emitter_id,seq) INSERT OR IGNORE; re-scan inserts 0",test: ingest-idempotency.test,pass,pass,,pass (loop-2 rerun / suite 126-test green)
ING-09,ingest,sessions projection,"As an operator, session metadata accretes without clobbering",session_started upserts sessions; origin only upgraded from 'unknown'; cwd/branch COALESCE keep existing,unit: two session_started variants,pass,pass,,pass (loop-2 rerun / suite 126-test green)
ING-10,ingest,incarnation domains,"As the recon, claude incarnations are lifecycle-only",liveness_domain='lifecycle' for runtime claude else 'process'; last_seen_at monotonic MAX,unit: insert claude vs pi,fixed+verified,FAIL,E1: extension nests pid/proc_boot_id under detail.lease but ingest reads top-level detail.pid -> incarnation pid NULL; recon kill0-marks live sessions dead,"pass — fixed: ingest reads detail.lease.{pid,proc_boot_id} (flat fallback kept); e2e retest shows real pids in session_incarnations; live bun process no longer kill0-flagged; regression test in ingest.test.ts"
ING-11,ingest,liveness refresh,"As the recon, any event refreshes its writer's last_seen_at","non-start events UPDATE session_incarnations last_seen_at=MAX(existing,at)",unit: heartbeat bumps last_seen,pass,pass,,pass (loop-2 rerun / suite 126-test green)
ING-12,ingest,reducer drain,"As an operator, ingest applies reductions fully each scan",reduceJournal called in reducer_batch_size batches until short batch,unit: >batch events drained,pass,pass,,pass (loop-2 rerun / suite 126-test green)
ING-13,ingest,CLI contract,"As an operator, ingest has a clear one-shot mode",--once scans once and prints 'ingested N new event(s) from M file(s)'; unknown args usage exit 2,behavioral: run --once / bad arg,pass,pass,,pass (loop-2 rerun / suite 126-test green)
ING-14,ingest,watchdog heartbeat,"As the watchdog, ingest liveness is observable",every loop iteration writes epoch ms to ~/.overload/ingest.heartbeat,behavioral: run --once; stat file,pass,pass,,pass (loop-2 rerun / suite 126-test green)
RED-01,reducer,cursor+batching,"As an operator, reduction is resumable and ordered",reducer_cursor persists last applied ingest_seq; events applied in ingest order in immediate transactions,test: p2 tests,pass,pass,,pass (loop-2 rerun / suite 126-test green)
RED-02,reducer,classifier_activated apply,"As an operator, activation events replay into activations table",classifier_activated inserts classifier_activations idempotently,unit,pass,pass,,pass (loop-2 rerun / suite 126-test green)
RED-03,reducer,outage freeze,"As an operator, a platform outage never masquerades as session death",source_outage opens one incident; freezes only sessions with valid attachment on that platform,test: p2-classifier outage,pass,pass,,pass (loop-2 rerun / suite 126-test green)
RED-04,reducer,recovery unfreeze,"As an operator, recovery resumes normal classification",source_recovered closes incident and unfreezes attachment-bound sessions,test: p2-classifier,pass,pass,,pass (loop-2 rerun / suite 126-test green)
RED-05,reducer,attachment projection,"As an operator, jump bindings stay current","attachment_observed upserts attachments(valid=1,binding,observed_at); orca attachment upgrades unknown origin to agent in sessions+current",test: p2-recon,pass,pass,,pass (loop-2 rerun / suite 126-test green)
RED-06,reducer,late-bind freeze,"As an operator, sessions bound during an outage freeze immediately",attachment_observed while platform incident open -> current.frozen=1,test: p2 M2 regression,pass,pass,,pass (loop-2 rerun / suite 126-test green)
RED-07,reducer,session state machine,"As an operator, session state mirrors lifecycle events",working->working; settled->idle; decision_requested->awaiting_human; session_ended->done; session_vanished->vanished,test: p2-classifier,pass,pass,,pass (loop-2 rerun / suite 126-test green)
RED-08,reducer,incident gating,"As an operator, recon findings during an outage are ignored",RECON_EVENTS skipped when incident open for detail.platform or stable_id platform,test: p2-classifier,pass,pass,,pass (loop-2 rerun / suite 126-test green)
RED-09,reducer,recon writer projection,"As an operator, recon findings target the session's own incarnation",recon finding from admin writer preserves current.writer_id,test: p2-recon stable_id carry,pass,pass,,pass (loop-2 rerun / suite 126-test green)
RED-10,reducer,writer arbitration,"As an operator, stale writers cannot corrupt a session's state",foreign-writer non-start events ignored; session_started from new writer resets state to idle and adopts writer,test: p2-classifier,pass,pass,,pass (loop-2 rerun / suite 126-test green)
RED-11,reducer,terminal protection,"As an operator, done/failed/vanished sessions stay terminal",events after terminal state ignored unless new writer session_started,test: p2-classifier,pass,pass,,pass (loop-2 rerun / suite 126-test green)
RED-12,reducer,re-reduction guard,"As an operator, replays never invent transitions",row with ingest_seq <= current.last_ingest_seq skipped,test: re-reduce scenario,pass,pass,,pass (loop-2 rerun / suite 126-test green)
RED-13,reducer,request creation,"As an operator, an ask becomes a tracked pending request + notification","decision_requested inserts requests(pending,next_reminder_at=at) uid=<stable>#<writer>#<id> and initial osascript notification",test: requests.test,pass,pass,,pass (loop-2 rerun / suite 126-test green)
RED-14,reducer,request resolution,"As an operator, answered asks resolve with the true outcome","decision_resolved maps state/outcome in {resolved,cancelled,timed_out}; error:true->cancelled; default resolved",test: requests.test,pass,pass,,pass (loop-2 rerun / suite 126-test green)
RED-15,reducer,out-of-order resolution,"As an operator, a resolution seen before its request still records terminally",decision_resolved without prior request inserts terminal-state row,test: requests.test,pass,pass,,pass (loop-2 rerun / suite 126-test green)
RED-16,reducer,session-end orphaning,"As an operator, a clean exit orphans its unanswered asks",session_ended sets that writer's pending requests to orphaned with resolved_at,test: requests.test,pass,pass,,pass (loop-2 rerun / suite 126-test green)
RED-17,reducer,drain orphaning+gap,"As an operator, a dead drained emitter orphans requests and records one tail gap",emitter_drained orphans pending by origin_emitter_id; coverage_gaps gets exactly one emitter_drained row per emitter,test: p2 M3 regression,pass,pass,,pass (loop-2 rerun / suite 126-test green)
RED-18,reducer,unattributable gap,"As an operator, platform-only processes never fabricate sessions",telemetry_gap without stable_id creates no current row (health evidence only),test: p2-classifier,pass,pass,,pass (loop-2 rerun / suite 126-test green)
RED-19,reducer,queue classification,"As an operator, sessions land in the right queue",q5 on reason(stalled/dead_incarnation/telemetry_gap/orphaned_request); done+origin agent|unknown->q2; working|idle->q3; transitions journaled with classifier version,test: p2-classifier,fixed+verified,FAIL,E8: q2 predicate matches origin literally ('agent'/'unknown'); real parent lineage strings (e.g. orca:wt-123) exclude done agent sessions from q2 (contract: normalize non-human lineage to agent); also noted: src grants q3 to working/idle regardless of heartbeat age vs reference contract limbo; accepted — no q3 consumer exists in CLI,pass — fixed: classifier normalizes origin (non-empty non-human lineage => agent) for q2; e2e retest: parent 'orca:wt-99' done session lands q2; regression test added
RED-20,reducer,heartbeat tracking,"As the recon, activity freshness is tracked",heartbeat/tool_activity/working update last_heartbeat_at; heartbeat/tool_activity leave state unchanged,test: p2-classifier,pass,pass,,pass (loop-2 rerun / suite 126-test green)
CLI-01,cli,sessions list,"As an operator, I list every known session",overload sessions prints stable_id/runtime/origin/created ISO ordered by first_seen; empty -> 'No known sessions.',behavioral: seeded ledger,pass,pass,,pass (loop-2 rerun / suite 126-test green)
CLI-02,cli,session detail,"As an operator, I inspect one session end to end","overload show <id> prints session header, incarnations, pending requests, full event history; unknown id -> stderr + exit 1",behavioral,pass,pass,,pass (loop-2 rerun / suite 126-test green)
CLI-03,cli,q1 pending decisions,"As an operator, I see every decision awaiting me with a jump target","overload q1 lists pending requests, failed-delivery flagged first with [DELIVERY FAILED], latest valid binding as jump=",behavioral,pass,pass,[DELIVERY FAILED] ordering verified in loop 2 with crafted failed_permanent row,pass ([DELIVERY FAILED] flag + ordering verified with crafted failed_permanent row)
CLI-04,cli,q2 completed agents,"As an operator, I harvest finished agent sessions",overload q2 lists current queue=q2 rows (agent-origin done sessions) with last event time,behavioral,pass,pass,,pass (loop-2 rerun / suite 126-test green)
CLI-05,cli,zombie queue,"As an operator, I triage anomalies grouped by cause",overload zombie groups q5 rows by q5_reason and appends orphaned requests under orphaned_request,behavioral,pass,pass,,pass (loop-2 rerun / suite 126-test green)
CLI-06,cli,health summary,"As an operator, I check pipeline health at a glance",overload health prints open_incidents/coverage_gaps/telemetry_gaps counts + one line per open incident,behavioral,pass,pass,,pass (loop-2 rerun / suite 126-test green)
CLI-07,cli,CLI contract,"As an operator, misuse fails fast and clearly",bad/missing args -> usage exit 2; unopenable ledger -> error exit 1; OVERLOAD_LEDGER_PATH overrides path; read-only open,behavioral,pass,pass,,pass (loop-2 rerun / suite 126-test green)
REC-01,recon,dead emitter detection,"As an operator, a crashed agent process is flagged once","kill(pid,0) failure -> emitter_dead{verified:kill0} once (memory+journal dedup across restarts)",test: p2-recon,pass,pass,,pass (loop-2 rerun / suite 126-test green)
REC-02,recon,pid-reuse defense,"As an operator, a recycled pid is not treated as my agent",ps comm mismatch vs runtime allowlist -> dead verified:comm_mismatch,test: p2-recon,pass,pass,,pass (loop-2 rerun / suite 126-test green)
REC-03,recon,drain confirmation,"As an operator, orphaning happens only after spool fully ingested",dead + grace >= drain_grace_ms + all spool cursors at EOF -> emitter_drained once; missing dir counts as EOF,test: p2-recon,pass,pass,,pass (loop-2 rerun / suite 126-test green)
REC-04,recon,stall detection,"As an operator, a silent-but-alive agent is surfaced",alive and now-last_activity > stall_profile_ms -> emitter_stalled{silent_ms},test: p2-recon,pass,pass,,pass (loop-2 rerun / suite 126-test green)
REC-05,recon,herdr snapshot,"As an operator, herdr agents are reconciled",herdr agent list --json parsed; terminal_id binding; visible unless status done/unknown,test: parseHerdr,fixed+verified,FAIL,E4: default herdr_cmd 'herdr agent list --json' rejected by real CLI (no --json flag) -> permanent herdr outage; E5: parseHerdr record(root.result) throws before root.agents fallback (flat shape unusable),"pass — fixed: default herdr_cmd 'herdr agent list'; resultEnvelope() peels {result:{agents}} and accepts flat {agents}; retest: both shapes parse, no false outage"
REC-06,recon,orca snapshot,"As an operator, orca worktrees are reconciled",orca worktree ps --json parsed; worktreeInstanceId binding; visible when status active|working,test: parseOrca,fixed+verified,FAIL,E6: parseOrca expects value.worktrees or array value.result; real CLI returns {result:{worktrees:[...]}} -> permanent orca outage,"pass — fixed: parseOrca peels {result:{worktrees}}; retest with real orca CLI output shape: no outage, attachments observed"
REC-07,recon,cmux snapshot,"As an operator, cmux sessions are reconciled",*-hook-sessions.json globbed and merged; workspaceId/workstreamId/id binding; visible unless agentLifecycle unknown,test: cmux fixtures,pass,pass,,pass (loop-2 rerun / suite 126-test green)
REC-08,recon,source outage lifecycle,"As an operator, platform CLI failures raise one incident until recovery",snapshot failure -> source_outage once (journal-dedup); success after outage -> source_recovered,test: p2-recon,pass,pass,,pass (loop-2 rerun / suite 126-test green)
REC-09,recon,attachment discovery,"As an operator, ledger sessions get jump bindings by cwd match",native session cwd == session cwd -> attachment_observed{binding}; re-emitted on binding change or post-vanish reappearance,test: p2-recon,pass,pass,,pass (loop-2 rerun / suite 126-test green)
REC-10,recon,telemetry gap detection,"As an operator, an untracked live agent is reported hourly at most",visible native session matching session w/o live writer -> telemetry_gap; 1h rate limit persisted via journal across recon restarts,test: p2-recon,pass,pass,,pass (loop-2 rerun / suite 126-test green)
REC-11,recon,session vanish detection,"As an operator, a disappeared platform session is flagged exactly once",valid attachment binding absent from complete snapshot -> session_vanished; dedup via journal until re-attach,test: p2-recon,pass,pass,,pass (loop-2 rerun / suite 126-test green)
REC-12,recon,recon spool writer,"As the pipeline, recon findings flow through the same spool contract",admin-spool envelopes runtime=overload; segment rotation at 1MB/30s; dirs 0700 files 0600 fsynced,behavioral: run recon --once,pass,pass,,pass (loop-2 rerun / suite 126-test green)
REC-13,recon,recon config,"As an operator, recon is tunable and safe by default",flags > config.json > defaults(60s interval/5min grace/30min stall/10s timeout); host file must be local|devbox else exit 2; --once prints summary,behavioral: flag matrix,pass,pass,host-file validation (invalid value -> exit 2) verified in loop 2,pass (invalid host id -> exit 2 verified)
REC-14,recon,command timeout,"As an operator, a hung platform CLI cannot hang recon",snapshot command killed after command_timeout_ms -> treated as outage path,test: p2-recon timeout,pass,pass,,pass (loop-2 rerun / suite 126-test green)
NOT-01,notifier,claim semantics,"As an operator, notifications are delivered exactly-once per attempt",claimNext takes oldest pending due row -> attempting; stuck attempting reclaimable after 30s grace,test: p2-outbox,fixed+verified,FAIL,E2: claim ignores request state -> initial notifications delivered for already-resolved/orphaned requests (stale macOS notification for every quickly-answered ask),pass — fixed: pruneObsolete drops undelivered notifications for non-pending requests before claim; e2e retest: resolved/cancelled asks deliver nothing; regression test in notifier.test.ts
NOT-02,notifier,sent transition,"As an operator, delivered notifications are finalized",markSent attempting->sent with sent_at; no-op for other states,test: p2-outbox,pass,pass,,pass (loop-2 rerun / suite 126-test green)
NOT-03,notifier,failure backoff,"As an operator, flaky sinks retry with bounded backoff","markFailed re-pends with delays 1,5,15,15,15 min; 6th failure -> failed_permanent",test: p2-outbox,pass,pass,,pass (loop-2 rerun / suite 126-test green)
NOT-04,notifier,reminders,"As an operator, unanswered decisions re-notify every 15min","enqueueReminders inserts next reminder_seq when request pending, next_reminder_at due, and no notification in flight",test: p2-outbox,pass,pass,,pass (loop-2 rerun / suite 126-test green)
NOT-05,notifier,osascript sink,"As an operator, I get a macOS notification with the jump binding",display notification body=summary(+newline binding) title Overload; nonzero osascript -> failure path,behavioral: darwin only,pass,pass,,pass (loop-2 rerun / suite 126-test green)
NOT-06,notifier,file sink,"As an operator, notifications can be audited to a file","file:PATH appends NDJSON {notification_uid,request_uid,kind,reminder_seq,summary,binding} mode 0600",test: p2-outbox,fixed+verified,FAIL,E3: reducer enqueues sink='osascript' only; claimNext filters by --sink name -> file:PATH transport can never claim anything (silent no-op),pass — fixed: config.notify_sink threaded ingest->reducer->enqueue (default osascript); file transport claims its own queue end-to-end; regression test added
NOT-07,notifier,summary extraction,"As an operator, notification text is meaningful",summary from detail.summary|preview|question|message trimmed; malformed detail -> request_uid fallback,test: p2-outbox,pass,pass,,pass (loop-2 rerun / suite 126-test green)
NOT-08,notifier,notifier contract,"As an operator, notifier misuse fails fast",--once/--ledger/--sink parsed; bad sink -> usage exit 2; notify_interval_ms from config default 5000,behavioral,pass,pass,,pass (loop-2 rerun / suite 126-test green)
OPS-01,ops,watchdog healthy path,"As an operator, a healthy ingest is silent",launchd job loaded + heartbeat age <= 30s -> exit 0 no notification,behavioral: env-overridden run,pass,pass,,pass (loop-2 rerun / suite 126-test green)
OPS-02,ops,watchdog alarm,"As an operator, ingest death alarms with a precise cause",unloaded job / missing heartbeat / stale heartbeat -> distinct osascript message + exit 1,behavioral,pass,pass,,pass (loop-2 rerun / suite 126-test green)
OPS-03,ops,sleep-skew suppression,"As a laptop operator, wake-from-sleep does not false-alarm",wall vs uptime delta skew > 60s -> state reset + exit 2 without alarm,behavioral: forged state file,pass,pass,,pass (loop-2 rerun / suite 126-test green)
OPS-04,ops,maintenance composition,"As an operator, one launchd interval runs recon then watchdog independently",recon failure never suppresses watchdog; watchdog nonzero status wins exit code,behavioral: forced failures,pass,pass,,pass (loop-2 rerun / suite 126-test green)
OPS-05,ops,launchd definitions,"As an operator, install docs and plists actually work together","3 plists parse (plutil), labels/paths match README install commands, ingest+notifier KeepAlive, maintenance 60s interval",behavioral: plutil + cross-check,pass,pass,,pass (loop-2 rerun / suite 126-test green)
CLH-01,claude-hook,fail-open guarantee,"As a Claude user, telemetry failures never break my session",missing payload/jq/host file/invalid JSON -> exit 0 silently; set +e throughout,behavioral: run hook without jq/host,pass,pass,,pass (loop-2 rerun / suite 126-test green)
CLH-02,claude-hook,host gating,"As an operator, only configured hosts emit claude telemetry",host file must read local|devbox else exit 0 without spool writes,behavioral: bogus host,pass,pass,,pass (loop-2 rerun / suite 126-test green)
CLH-03,claude-hook,per-invocation emitter,"As the pipeline, each hook invocation is its own sealed emitter","emitter claude-<pid>-<hex8>, writer claude-<session>; active sealed to seg- on EXIT trap; empty active removed",behavioral: inspect spool after run,pass,pass,,pass (loop-2 rerun / suite 126-test green)
CLH-04,claude-hook,lifecycle mapping,"As an operator, claude session lifecycle mirrors into the ledger",SessionStart->session_started; Stop/SessionEnd/SessionStop->session_ended; SubagentStop/TaskCompleted->settled; Notification/UserPromptSubmit/Pre/PostToolUse->working,smoke.sh + ingest,pass,pass,,pass (loop-2 rerun / suite 126-test green)
CLH-05,claude-hook,permission request capture,"As an operator, claude permission prompts become pending decisions","PermissionRequest -> decision_requested{request_id,tool_name,tool_input keys-only (secret-safe)}",smoke.sh assertions,pass,pass,,pass (loop-2 rerun / suite 126-test green)
CLH-06,claude-hook,permission resolution,"As an operator, permission outcomes map to true terminal states",allow/approve->resolved; deny/cancel->cancelled; absent decision waits OVERLOAD_PERMISSION_TIMEOUT_SECONDS (30) then timed_out,smoke.sh,pass,pass,,pass (loop-2 rerun / suite 126-test green)
CLH-07,claude-hook,envelope validity,"As the pipeline, hook envelopes ingest like any other emitter",envelopes pass validate-envelope; runtime=claude -> lifecycle liveness domain,smoke.sh + ingest --once,pass,pass,,pass (loop-2 rerun / suite 126-test green)
CLH-08,claude-hook,unknown event tolerance,"As a Claude user, future hook events are ignored safely","unmatched hook_event_name -> no event, exit 0",behavioral,pass,pass,,pass (loop-2 rerun / suite 126-test green)
PUL-01,pull,spool transfer,"As an operator, devbox spool mirrors to local for ingest",rsync -a with include seg-*/active-*.ndjson exclude * from remote spool to ~/.overload/spool/devbox; summary files/bytes parsed from %n|%l,behavioral: local rsync fixture,pass,pass,,pass (loop-2 rerun / suite 126-test green)
PUL-02,pull,ssh preflight,"As an operator, unreachable devbox fails fast",ssh BatchMode ConnectTimeout=5 <remote> true before rsync; failure counts toward threshold,behavioral: false ssh,pass,pass,,pass (loop-2 rerun / suite 126-test green)
PUL-03,pull,outage lifecycle,"As an operator, sustained pull failure raises one devbox incident",fail_threshold(4) consecutive failures -> source_outage{source:devbox} once (state+journal dedup); next success -> source_recovered + reset,test: pull.test/p3-pull,pass,pass,,pass (loop-2 rerun / suite 126-test green)
PUL-04,pull,pull heartbeat,"As the watchdog, pull liveness is observable",successful pull touches ~/.overload/pull.heartbeat (0600); failures do not,behavioral,pass,pass,,pass (loop-2 rerun / suite 126-test green)
PUL-05,pull,state persistence,"As an operator, failure counts survive restarts","pull-state.json written atomically (tmp+rename, 0600) with failures/outage_reported",test: pull.test,pass,pass,,pass (loop-2 rerun / suite 126-test green)
PUL-06,pull,single-flight,"As an operator, overlapping pull intervals never race","flock -n re-exec with --locked, or mkdir lockdir fallback; second instance exits 0 without pulling",behavioral: concurrent runs,pass,pass,,pass (loop-2 rerun / suite 126-test green)
PUL-07,pull,pull config contract,"As an operator, pull is tunable with safe defaults",flags remote/remote-spool/dest/ssh-cmd/rsync-cmd/fail-threshold/timeout-ms/ledger/admin-spool/heartbeat/state/lock; invalid arg/exit 2; --once single run,behavioral: bad arg,pass,pass,,pass (loop-2 rerun / suite 126-test green)
PUL-08,pull,time budget,"As an operator, a hung transfer cannot pile up",one deadline (55s default) shared across ssh+rsync; overrun kills child and fails the run,test: pull.test timeout,pass,pass,,pass (loop-2 rerun / suite 126-test green)
INS-01,installer,hook install,"As an operator, installing hooks preserves my Claude settings",jq merge into settings.json; owned entries marked OVERLOAD_CLAUDE_HOOK=1; idempotent; .bak backup; 0600 atomic replace,behavioral: scratch settings,pass,pass,,pass (loop-2 rerun / suite 126-test green)
INS-02,installer,hook uninstall,"As an operator, uninstalling removes only Overload entries",--uninstall filters only marker-owned hooks; unrelated matchers untouched; empty hooks key deleted,behavioral,pass,pass,,pass (loop-2 rerun / suite 126-test green)
INS-03,installer,event registration,"As an operator, the right Claude events are hooked",SessionStart/Stop/SubagentStop/Notification matcher '' and PermissionRequest matcher * with timeout 35,behavioral: jq inspect,pass,pass,,pass (loop-2 rerun / suite 126-test green)
DEP-01,deploy,devbox extension deploy,"As an operator, one command prepares the devbox",scp extension to ~/.pi and ~/.omp agent extension dirs; writes host=devbox 0600; dirs 0700; prime intentionally excluded,behavioral: --dry-run inspection,pass,pass,,pass (loop-2 rerun / suite 126-test green)
DEP-02,deploy,deploy contract,"As an operator, deploy misuse fails fast",--dry-run prints commands without executing; unknown arg -> usage exit 2,behavioral,pass,pass,,pass (loop-2 rerun / suite 126-test green)
OPS-06,ops,recon failure alarm,"As an operator, recon crashes are surfaced independently",maintenance.sh: recon nonzero -> osascript notification; watchdog still runs; watchdog status wins exit,behavioral: forced recon failure,pass,pass,,pass (loop-2 rerun / suite 126-test green)
OPS-07,ops,pull launchd job,"As an operator, devbox pull runs every minute unattended",pull.plist: 60s interval bun src/pull/pull.ts --once; documented in launchd README,plutil + README cross-check,fixed+verified,FAIL,E7: launchd/README.md documents 3 jobs; pull.plist absent from install/uninstall instructions,pass — fixed: launchd/README.md documents 4 jobs incl. pull install/uninstall
ISL-01,island,hover-to-expand panel,"As an operator, I get an always-visible floating glance of Q1/Q2 counts that expands on hover","NSPanel (native/island) hover-to-expand per island-web-design.md §2.3; glance + copy-jump only, no approve/deny",behavioral: swift build -c release + owner runtime verification (CGWindowListCreateImage window-scoped capture),unavailable,,"BLOCKER (open, unresolved): panel renders fully transparent after the first expand->collapse cycle -- window remains correctly tracked on-screen (right level/bounds via CGWindowListCopyWindowInfo) but composites as blank until the next hover. Deterministically reproduced 2/2 by an independent acceptance pass using window-scoped capture (immune to other-window occlusion). Root cause isolated via minimal repro to isOpaque=false (isOpaque=true renders correctly through the identical resize sequence); six standard AppKit fixes tried (needsDisplay/viewsNeedDisplay/displayIfNeeded/orderFront/contentView-reassignment/layerContentsRedrawPolicy) did not resolve it while preserving the required rounded/transparent-corner visual. See island-web-design.md §7 residual risk #4.",not shipped -- works.earendil.overload.island.plist intentionally NOT installed; needs interactive AppKit debugging (Xcode View Debugger) on an idle machine before enabling
