id,area,feature,current_status,user_story,expected_behavior,verify_method,hist_status,hist_loop1,hist_errors,hist_loop2,code_basis,r2_test_status,r2_test_evidence,r2_defects,r2_fix_location,r2_retest_status,r2_retest_evidence,r2_blocker
EXT-11,extension,commit trailer injection,pass,"As an operator, agent commits are attributable to their session",bash 'git commit ...' (no shell metachars) gets --trailer Overload-Session: <stable_id>#<writer_id> appended,behavioral: tool_call bash mutation check,pass,pass,,pass (loop-2 rerun / suite 126-test green),"src/extension/overload.ts:on(""tool_call"") git commit trailer branch",pass,"bun test test/ext-lineage.test.ts -> 'git commit trailer injection (EXT-11) still works after the refactor' passes: bash 'git commit -m msg' rewritten to --trailer ""Overload-Session: local:<runtime>:<session>#<writerId>"". Compound/metachar commands untouched (guard /[|;&`$()\n\r]/).",,,pass,"bun test test/ext-lineage.test.ts -> 'git commit trailer injection (EXT-11) still works after the refactor' passes: bash 'git commit -m msg' rewritten to --trailer ""Overload-Session: local:<runtime>:<session>#<writerId>"". Compound/metachar commands untouched (guard /[|;&`$()\n\r]/). | 全量回归: 747 pass/1 skip/0 fail (docs/history/test-logs/full-test-log-final-20260922-151847.txt)",
EXT-12,extension,commit_observed,pass,"As an operator, I see when a session changed HEAD","after bash tool_result, HEAD probe; changed sha -> commit_observed{sha,repo}",behavioral: git repo + HEAD change,pass,pass,,pass (loop-2 rerun / suite 126-test green),"src/extension/overload.ts:probeHead + on(""tool_result"")",pass,"bun test test/ext-*.test.ts -> pass. After bash tool_result, probeHead compares new HEAD vs headByCwd[cwd] and emits commit_observed{sha,repo} only on change; first probe seeds without emitting. execGit resolves null on non-repo/timeout (no crash).
[audit-new-test] test/ext-commit-observed.test.ts: bun test test/ext-commit-observed.test.ts -> 1 pass / 0 fail; real git repo in tmp: session_start seeds HEAD (probeHead false), a real `git commit` advances HEAD, then a bash tool_result drives probeHead(true) and the spool contains exactly 1 commit_observed{sha=<new HEAD>, repo=<git toplevel>}",,,pass,"new test test/ext-commit-observed.test.ts: bun test test/ext-commit-observed.test.ts -> 1 pass / 0 fail; real git repo in tmp: session_start seeds HEAD (probeHead false), a real `git commit` advances HEAD, then a bash tool_result drives probeH | 全量回归: 747 pass/1 skip/0 fail (docs/history/test-logs/full-test-log-final-20260922-151847.txt)",
EXT-13,extension,session_ended+flush,pass,"As an operator, session shutdown is recorded and spool flushed",session_shutdown -> session_ended{reason}; queue drained; active segment sealed,behavioral: shutdown then inspect seg file,pass,pass,,pass (loop-2 rerun / suite 126-test green),"src/extension/overload.ts:on(""session_shutdown"") + SpoolWriter.flushAndSeal",pass,"bun test test/ext-decision-payload.test.ts test/ext-handoff.test.ts test/ext-lineage.test.ts -> pass. session_shutdown emits session_ended{reason}, clears heartbeat, flushes queue (drain until empty), and seals active->seg. close() helpers read back exactly one seg- file and assert a session_ended row present.",,,pass,ext-decision-payload 'session_shutdown flushed and sealed a session_ended record' + ext-lineage sealed-seg read pass. | 全量回归: 747 pass/1 skip/0 fail (docs/history/test-logs/full-test-log-final-20260922-151847.txt),
EXT-14,extension,segment sealing,pass,"As the ingest pipeline, segments seal at 30s or 1MB so transport sees stable files",active renamed to seg-<emitter>-<n> at 30s age or 1MB; paths never reused,behavioral: write past limits,pass,pass,,pass (loop-2 rerun / suite 126-test green),src/extension/overload.ts:SpoolWriter.armSealTimer + seal,pass,"bun test test/ext-*.test.ts -> pass. active renamed to seg-<emitter>-<n> at SEGMENT_MAX_AGE_MS(30s) via sealTimer or SEGMENT_MAX_BYTES(1MB) inline; segment++ and paths never reused (path() uses monotonic this.segment). seal() no-ops when segmentBytes===0.
[audit-new-test] test/ext-seal-overflow.test.ts: bun test test/ext-seal-overflow.test.ts -> 1 pass / 0 fail; (b) inline seal: accumulating >1MB (1048576) lines triggers inline seal() inside drainAsync, renaming active-* to a seg-* file whose size >= SEGMENT_MAX_BYTES, and the new active-* uses a strictly higher segment index (segment++ monotonic, no path reuse)
[shard-pass] test/ext-seal-30s-real.test.ts: tmp HOME isolated via mock.module('node:os'); dispatched session_start + 3 tool_call (git push) seed writes and confirmed active-<emitter>-1.ndjson existed with non-zero bytes. Real Bun.sleep(31000) past SEGMENT_MAX_AGE_MS=30000; the timer armed by the first fs write fired on the drained queue. Afte",,none (test only; no src change for this item),pass,"test/ext-seal-30s-real.test.ts: tmp HOME isolated via mock.module('node:os'); dispatched session_start + 3 tool_call (git push) seed writes and confirmed active-<emitter>-1.ndjson existed with non-zero bytes. Real Bun.sleep(31000) p | 全量回归: 747 pass/1 skip/0 fail (docs/history/test-logs/full-test-log-final-20260922-151847.txt) | 2026-09-22 flaky测试修复: ext-seal-overflow.test.ts EXT-14(b) 在全量并行下 因seal后新active文件懒创建(下次写入才建)导致active断言失败(1次失败,exit 1). 修复: seal检测后追加1次写入触发active创建+有界poll(3000ms)替代立即断言. 验证: 全量连续2次755/1/0 exit 0. 失败历史见 docs/history/test-logs/signal-kill-flaky-failure-20260922.txt. 全量日志: docs/history/test-logs/full-test-log-final-20260922-154145.txt",
EXT-15,extension,overflow+error counters,pass,"As an operator, telemetry loss is visible not silent",queue>1000 drops with dropped_total; write failures bump write_error_total; counters on every envelope,unit: envelope counters present,pass,pass,counters verified on every envelope; overflow drop not force-tested (queue drains faster than fill in-process),pass (loop-2 rerun / suite 126-test green),src/extension/overload.ts:SpoolWriter.enqueue (drop at 1000) + drainAsync (write_error_total),pass,"bun test test/ext-*.test.ts -> pass. Every envelope carries dropped_total/write_error_total (enqueue stamps them; drainAsync refreshes per write attempt). Queue>=WRITE_QUEUE_LIMIT(1000) drops with droppedTotal++; write failures bump writeErrorTotal without infinite retry. Counters present on every read-back envelope in ext-decision-payload/ext-lineage.
[audit-new-test] test/ext-overflow-drop.test.ts: bun test test/ext-overflow-drop.test.ts -> 1 pass / 0 fail; on a fresh SpoolWriter, a tight synchronous 2000-call burst (drain cannot run until the loop's microtask queue drains) backs the queue to WRITE_QUEUE_LIMIT=1000: exactly 1000 rows reach disk, every stamped dropped_total===1000, and the 1000 dropped entries are absent (max surviving seq == overflowStart+1000)",Overflow drop not force-tested (queue drains faster than fills in-process) — inherited loop1 note; counters verified present on every envelope.,,pass,"new test test/ext-overflow-drop.test.ts: bun test test/ext-overflow-drop.test.ts -> 1 pass / 0 fail; on a fresh SpoolWriter, a tight synchronous 2000-call burst (drain cannot run until the loop's microtask queue drains) backs the queue to WR | 全量回归: 747 pass/1 skip/0 fail (docs/history/test-logs/full-test-log-final-20260922-151847.txt)",
EXT-16,extension,host identity,pass,"As an operator, devbox events are tagged devbox",~/.overload/host contents 'devbox' -> host=devbox; missing/unreadable -> local,behavioral: host file variants,pass,pass,,pass (loop-2 rerun / suite 126-test green),src/extension/overload.ts:SpoolWriter.initialize (read ~/.overload/host),pass,"bun test test/ext-host-context.test.ts + ext-* harnesses -> pass. initialize() reads ~/.overload/host trimmed; 'devbox' -> host=devbox; missing/unreadable falls back to local (try/catch). Harnesses run with no host file => host=local and spool lands in spool/local/.
[audit-new-test] test/ext-host-identity-devbox.test.ts; test/ext-host-identity-local.test.ts; test/ext-host-identity-unreadable.test.ts: bun test <three host files> -> 3 pass / 0 fail; (a) ~/.overload/host == 'devbox' yields spool/devbox/ (no spool/local/); (b) no host file yields spool/local/; (c) chmod 000 host file falls back to spool/local/. Separate files because host is resolved once at SpoolWriter construction/import. Does not overlap ext-host-context.test.ts (cmux ps probe).",,,pass,new test test/ext-host-identity-devbox.test.ts; test/ext-host-identity-local.test.ts; test/ext-host-identity-unreadable.test.ts: bun test <three host files> -> 3 pass / 0 fail; (a) ~/.overload/host == 'devbox' yields spool/devbox/ (no spool/local/); (b) no host file yields spool/local/; (c) chmod 000 host file falls back to spo | 全量回归: 747 pass/1 skip/0 fail (docs/history/test-logs/full-test-log-final-20260922-151847.txt),
EXT-17,extension,secret scrubbing,pass,"As an operator, tokens never reach the ledger",sk-/ghp_/github_pat/xox tokens and key[:=]value auth patterns replaced with [REDACTED],unit: scrub patterns,pass,pass,,pass (loop-2 rerun / suite 126-test green),src/shared/redact.ts:scrubText,pass,bun test test/ext-decision-payload.test.ts -> 'structured questions carry redacted summary and option labels' passes: question '...token=SHOULD_BE_REDACTED_ABCDEFGHIJKL' -> summary 'Deploy to prod now? token=[REDACTED]'. scrubText replaces sk-/ghp_/github_pat/xox tokens and key[:=]value auth patterns with [REDACTED]; truncateUtf8 also scrubs before truncating.,,,pass,bun test test/ext-decision-payload.test.ts -> 'structured questions carry redacted summary and option labels' passes: question '...token=SHOULD_BE_REDACTED_ABCDEFGHIJKL' -> summary 'Deploy to prod now? token=[REDACTED]'. scrubText replaces sk-/ghp_/github_pat/xox tokens and key[:=]value auth... | 全量回归: 747 pass/1 skip/0 fail (docs/history/test-logs/full-test-log-final-20260922-151847.txt),
EXT-18,extension,host-safety guarantee,pass,"As an agent user, telemetry can never break my session",handler exceptions and rejections swallowed; spool init failure disables writer with single console warning,behavioral: broken spool root,pass,pass,,pass (loop-2 rerun / suite 126-test green),src/extension/overload.ts:on() wrapper (sync throw + async .catch) + SpoolWriter.disable,pass,"bun test test/ext-*.test.ts -> pass. on() wraps every handler: sync throw swallowed (tool_call returns {block:true,reason}); async rejection swallowed via .catch(()=>...). SpoolWriter.initialize failure -> disable() clears queue, clears sealTimer, single console.warn; subsequent enqueue() no-ops (this.disabled). Harnesses never crash the host.",,,pass,All host-sim harnesses complete without host propagation; invalid-config gate test prints exactly one warning. | 全量回归: 747 pass/1 skip/0 fail (docs/history/test-logs/full-test-log-final-20260922-151847.txt),
ING-01,ingest,config load,pass,"As an operator, I tune scan cadence via config with safe defaults",config.json scan_interval_ms/reducer_batch_size; invalid file warns once and uses defaults 2000/500; non-positive values fall back,unit: loadConfig variants,pass,pass,,pass (loop-2 rerun / suite 126-test green),src/ingest/ingest.ts:56 loadConfig(); src/ingest/ingest.ts:76 positiveInteger(); defaults DEFAULT_SCAN_INTERVAL_MS=2000 / DEFAULT_REDUCER_BATCH_SIZE=500 at lines 14-15; invalid file warns via console.error line 63 and falls through to defaults,pass,"bun test src/ingest/ingest.test.ts (loadConfig variants) green within src/ingest/ 49-test run; invalid/non-positive values route through positiveInteger fallback
[audit-new-test] test/audit-pipeline-ingest.test.ts: bun test test/audit-pipeline-ingest.test.ts > ING-01 loadConfig variants: missing file -> 2000/500; invalid JSON -> defaults; explicit + non-positive fallback. [mock/unit]
[audit-new-test] test/audit-pipeline-ingest.test.ts: bun test test/audit-pipeline-ingest.test.ts > ING-01 loadConfig variants: missing file -> 2000/500; invalid JSON -> defaults; explicit + non-positive fallback. [mock/unit]",,,pass,new test test/audit-pipeline-ingest.test.ts: bun test test/audit-pipeline-ingest.test.ts > ING-01 loadConfig variants: missing file -> 2000/500; invalid JSON -> defaults; explicit + non-positive fallback. [mock/unit] | 全量回归: 747 pass/1 skip/0 fail (docs/history/test-logs/full-test-log-final-20260922-151847.txt),
ING-02,ingest,ledger open hardening,pass,"As an operator, the ledger is private and symlink-safe",~/.overload 0700; refuses symlink ledger path; db/-wal/-shm chmod 0600; schema applied idempotently,behavioral: symlink + perms check,pass,pass,"symlink refused via uncaught throw (raw stacktrace, exit 1) — functional, message unpolished",pass (loop-2 rerun / suite 126-test green),src/ingest/ingest.ts:80 openLedger(); mkdir mode 0o700 + chmod 0o700 lines 82-83; symlink refuse via lstat line 85; sidecars ledger.db/-wal/-shm chmod 0o600 lines 92-94; initializeLedger line 98 applies schema.sql idempotently,pass,"bun test src/ingest/ingest.test.ts covers openLedger/symlink/perms; suite green (49 pass). symlink refusal path retained (uncaught throw at line 85, functional)
[audit-new-test] test/audit-pipeline-ingest.test.ts: ING-02 openLedger hardening: dir 0700 + db 0600; symlink path rejects /symlink/; idempotent second open. [mock/unit]
[audit-new-test] test/audit-pipeline-ingest.test.ts: ING-02 openLedger hardening: dir 0700 + db 0600; symlink path rejects /symlink/; idempotent second open. [mock/unit]","symlink refused via uncaught throw (raw stacktrace, exit 1) — functional, message unpolished",,pass,new test test/audit-pipeline-ingest.test.ts: ING-02 openLedger hardening: dir 0700 + db 0600; symlink path rejects /symlink/; idempotent second open. [mock/unit] | 全量回归: 747 pass/1 skip/0 fail (docs/history/test-logs/full-test-log-final-20260922-151847.txt),
ING-03,ingest,classifier activation,pass,"As an operator, classifier version changes are replay-visible",first run per version appends classifier_activated to admin spool + records watermark; second run no-op,unit+behavioral: activateClassifier twice,pass,pass,,pass (loop-2 rerun / suite 126-test green),src/ingest/ingest.ts:135 activateClassifier(); appends classifier_activated via src/ingest/classifier.ts:102 appendClassifierActivated(); watermark recorded into classifier_activations lines 138-141; second run no-op via SELECT existing line 136-137,pass,"bun test test/p2-classifier.test.ts 'classifier_activations watermark respected' suite green (activation idempotent, one row per version)
[audit-confirmed] p2-classifier 'activation is idempotent...one row per version' (ref) + real-layer ingest --once asserts classifier_activations==1; added ING-03 watermark assertion in audit file (activated_at_journal_seq==7). [contract+real]
[audit-confirmed] p2-classifier 'activation is idempotent...one row per version' (ref) + real-layer ingest --once asserts classifier_activations==1; added ING-03 watermark assertion in audit file (activated_at_journal_seq==7). [contract+real]",,,pass,"bun test test/p2-classifier.test.ts 'classifier_activations watermark respected' suite green (activation idempotent, one row per version)
[audit-confirmed] p2-classifier 'activation is idempotent...one row per version' (ref) + real-layer ingest --once asserts classifier_activations==1; added ING-03... | 全量回归: 747 pass/1 skip/0 fail (docs/history/test-logs/full-test-log-final-20260922-151847.txt)",
ING-04,ingest,spool discovery,pass,"As the pipeline, only well-formed spool files are read","scan host/emitter dirs matching [A-Za-z0-9._-]+, files matching (active|seg)-<id>-<n>[-recovered].ndjson; symlinks and foreign files skipped",behavioral: plant hostile names/symlinks,pass,pass,,pass (loop-2 rerun / suite 126-test green),src/ingest/ingest.ts:180 discoverSpoolFiles(); SAFE_COMPONENT=/^[A-Za-z0-9._-]+$/ line 20 gates host/emitter dirs; SEGMENT_FILE=/^(active|seg)-...ndjson$/ line 21 gates files; symlinks skipped via lstat isSymbolicLink line 198,pass,"bun test src/ingest/ingest.test.ts discovery cases green within 49-test run; foreign names/symlinks rejected by regex + symlink check
[audit-new-test] test/audit-pipeline-ingest.test.ts: ING-04 discovery: illegal host dir name, README.txt foreign file, seg symlink all skipped; only valid line ingested. [mock/unit]
[audit-new-test] test/audit-pipeline-ingest.test.ts: ING-04 discovery: illegal host dir name, README.txt foreign file, seg symlink all skipped; only valid line ingested. [mock/unit]",,,pass,"new test test/audit-pipeline-ingest.test.ts: ING-04 discovery: illegal host dir name, README.txt foreign file, seg symlink all skipped; only valid line ingested. [mock/unit] | 全量回归: 747 pass/1 skip/0 fail (docs/history/test-logs/full-test-log-final-20260922-151847.txt)",
ING-05,ingest,complete-line reads,pass,"As the pipeline, torn writes are never ingested",only bytes up to last newline consumed; partial tail line left for next scan; cursor advances to consumed end,test: ingest.test partial line,pass,pass,,pass (loop-2 rerun / suite 126-test green),"src/ingest/ingest.ts:206 readCompleteLines(); chunk.lastIndexOf(0x0a) line 232; complete=chunk.subarray(0,newline+1) line 240; end=start+complete.length line 256 leaves torn tail for next scan",pass,"bun test src/ingest/ingest.test.ts partial-line case green (49-test run, 0 fail)
[audit-confirmed] 'consumes only newline-terminated valid envelopes and resumes by byte cursor' asserts partial tail left, cursor=byteLength(first)+1, completion flow. [real unit]
[audit-confirmed] 'consumes only newline-terminated valid envelopes and resumes by byte cursor' asserts partial tail left, cursor=byteLength(first)+1, completion flow. [real unit]",,,pass,"bun test src/ingest/ingest.test.ts partial-line case green (49-test run, 0 fail)
[audit-confirmed] 'consumes only newline-terminated valid envelopes and resumes by byte cursor' asserts partial tail left, cursor=byteLength(first)+1, completion flow. [real unit]
[audit-confirmed] 'consumes only... | 全量回归: 747 pass/1 skip/0 fail (docs/history/test-logs/full-test-log-final-20260922-151847.txt)",
ING-06,ingest,truncation recovery,pass,"As the pipeline, a truncated/rewritten file re-reads from 0","stat.size < cursor -> start from 0; dedup by (host,emitter,seq) prevents double-insert",test: truncate scenario,pass,pass,,pass (loop-2 rerun / suite 126-test green),"src/ingest/ingest.ts:221 start = stat.size < cursor ? 0 : cursor (truncate regrows from 0); dedup via INSERT OR IGNORE journal UNIQUE(host,emitter_id,seq) in insertEnvelope line 287",pass,"bun test src/ingest/ingest.test.ts truncate scenario green; cmux.test.ts 'truncate-and-regrow ABA' also green (cursor tail fingerprint)
[audit-new-test] test/audit-pipeline-ingest.test.ts: ING-06 truncation: cursor beyond rewritten size restarts at 0; seq1/2 already present deduped (inserted 0, count stays 3). [mock/unit]
[audit-new-test] test/audit-pipeline-ingest.test.ts: ING-06 truncation: cursor beyond rewritten size restarts at 0; seq1/2 already present deduped (inserted 0, count stays 3). [mock/unit]",,,pass,"new test test/audit-pipeline-ingest.test.ts: ING-06 truncation: cursor beyond rewritten size restarts at 0; seq1/2 already present deduped (inserted 0, count stays 3). [mock/unit] | 全量回归: 747 pass/1 skip/0 fail (docs/history/test-logs/full-test-log-final-20260922-151847.txt)",
